experiment	sequence_project_id	sample_name	primerset_5	primerset_3	symbol	orf_id	pool_id	well	interactor_symbol	interactor_id	media	repeat_id	db_aa_score	y2h_score	well_read_cnt	mapped_read_cnt
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	FGF12	1161	1	D06	RBAK	70682	3AT	2	0	0	NULL	1
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	FGF12	1161	1	E06	THAP1	1668	3AT	2	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	FGF12	1161	1	F06	emptyAD	0	3AT	2	0	0	NULL	1
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	PTCH1	14122	1	G06	APPBP2	820	3AT	2	0	0	NULL	1
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	PTCH1	14122	1	H06	emptyAD	0	3AT	2	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	IFT27	7972	1	A07	HSPB11	5491	3AT	2	0	4	NULL	14396
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	IFT27	7972	1	B07	emptyAD	0	3AT	2	0	0	NULL	129
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	NRAS	5462	1	C07	RIN1	7142	3AT	2	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	NRAS	5462	1	D07	emptyAD	0	3AT	2	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	CDC42	399	1	E07	CDC42EP1	6819	3AT	2	0	4	NULL	1
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	CDC42	399	1	F07	emptyAD	0	3AT	2	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	RHOA	5810	1	G07	ARHGEF2	455	3AT	2	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	RHOA	5810	1	H07	RIPOR2	1818	3AT	2	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	RHOA	5810	1	A08	emptyAD	0	3AT	2	0	0	NULL	0
