experiment	sample_name	primerset_5	primerset_3	symbol	orf_id	pool_id	well	interactor_symbol	interactor_id	media	repeat_id	y2h_score	well_read_cnt	mapped_read_cnt
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	CALM3	3484	1	E02	TBC1D1	10585	3AT	2	4	30110	26104
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	CALM3	3484	1	F02	CAMTA2	9711	3AT	2	2	5389	4669
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	CALM3	3484	1	G02	IQCE	14968	3AT	2	3	22839	19742
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	CALM3	3484	1	H02	C11orf65	2162	3AT	2	4	28693	24757
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	CALM3	3484	1	A03	POC5	52781	3AT	2	0	214	163
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	CALM3	3484	1	B03	IQCG	100066775	3AT	2	2	5364	4631
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	CALM3	3484	1	C03	empty-AD	0	3AT	2	0	371	265
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	PPIL1	3755	1	D03	TCF4	56644	3AT	2	3	26529	23351
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	PPIL1	3755	1	E03	COL17A1	100068264	3AT	2	4	27744	24491
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	PPIL1	3755	1	F03	N4BP2L2	2958	3AT	2	2	22174	19882
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	PPIL1	3755	1	G03	SNW1	52879	3AT	2	4	18159	16116
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	PPIL1	3755	1	H03	empty-AD	0	3AT	2	0	300	218
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	VHL	13320	1	A04	HSF2BP	100070143	3AT	2	4	35100	30829
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	VHL	13320	1	B04	empty-AD	0	3AT	2	0	372	279
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	CRYAB	5585	1	C04	FP236240.1	13813	3AT	2	4	19116	16093
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	CRYAB	5585	1	D04	empty-AD	0	3AT	2	0	703	506
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	FGF12	1161	1	E04	RNF151	56094	3AT	2	0	1320	1025
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	FGF12	1161	1	F04	DACH1	6254	3AT	2	0	255	197
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	FGF12	1161	1	G04	RBAK	70682	3AT	2	1	23399	19008
